Date, Open, High, Low, Close, Volume
10/10/18, 46.30, 46.70, 45.67, 45.68, 13917018
10/09/18, 46.38, 46.55, 46.22, 46.39, 10824552
10/08/18, 45.99, 46.58, 45.97, 46.48, 9808094
10/05/18, 45.94, 46.16, 45.69, 45.88, 8734090
10/04/18, 45.66, 45.895, 45.425, 45.85, 9582388
10/03/18, 46.46, 46.55, 45.80, 45.87, 10542292
10/02/18, 46.28, 46.555, 46.06, 46.51, 7462702
10/01/18, 46.17, 46.35, 46.05, 46.23, 9364735
09/28/18, 46.00, 46.19, 45.97, 46.19, 9071904
09/27/18, 45.73, 46.18, 45.68, 46.01, 10826880
09/26/18, 45.77, 46.07, 45.565, 45.85, 10162560
09/25/18, 46.06, 46.1754, 45.61, 45.68, 7919144
09/24/18, 46.49, 46.53, 45.84, 46.07, 10778892
09/21/18, 46.64, 46.69, 46.375, 46.58, 19240577
09/20/18, 46.22, 46.68, 46.15, 46.64, 9736714
09/19/18, 46.00, 46.105, 45.865, 45.96, 7119133
09/18/18, 46.39, 46.53, 45.93, 45.93, 9847711
09/17/18, 46.00, 46.33, 45.91, 46.32, 8527345
09/14/18, 45.92, 46.0264, 45.61, 45.99, 7612884
09/13/18, 46.01, 46.12, 45.71, 45.83, 8294848
09/12/18, 46.16, 46.30, 46.02, 46.24, 13216376
09/11/18, 46.10, 46.15, 45.88, 46.02, 9278268
09/10/18, 45.91, 46.31, 45.795, 46.06, 8569053
09/07/18, 45.60, 45.82, 45.28, 45.72, 10208108
09/06/18, 45.40, 46.00, 45.30, 45.77, 11439474
09/05/18, 44.66, 45.42, 44.66, 45.38, 10555033
09/04/18, 44.60, 44.90, 44.51, 44.76, 11138579
08/31/18, 45.00, 45.07, 44.39, 44.57, 19834439
08/30/18, 45.28, 45.32, 44.885, 44.95, 9716529
08/29/18, 45.25, 45.415, 45.22, 45.33, 12410931
08/28/18, 45.65, 45.73, 45.28, 45.37, 8476801
08/27/18, 46.05, 46.05, 45.564, 45.69, 9581245
08/24/18, 45.65, 45.80, 45.58, 45.63, 10953103
08/23/18, 45.89, 46.08, 45.69, 45.70, 13144908
08/22/18, 46.34, 46.38, 45.92, 45.93, 7159135
08/21/18, 46.73, 46.75, 46.21, 46.22, 13986293
08/20/18, 46.68, 46.865, 46.59, 46.73, 6392025
08/17/18, 46.29, 46.73, 46.24, 46.60, 8885691
08/16/18, 46.11, 46.38, 45.97, 46.22, 10600733
08/15/18, 45.77, 46.145, 45.65, 46.08, 9686427
08/14/18, 45.91, 46.10, 45.8732, 45.89, 6846114
08/13/18, 46.05, 46.13, 45.70, 45.83, 8143398
08/10/18, 46.21, 46.42, 45.965, 46.08, 7535443
08/09/18, 46.25, 46.42, 46.075, 46.35, 8924087
08/08/18, 46.49, 46.56, 46.1226, 46.15, 6812170
08/07/18, 46.52, 46.61, 46.13, 46.50, 8632949
08/06/18, 46.60, 46.87, 46.55, 46.65, 10056109
08/03/18, 46.23, 46.76, 46.14, 46.62, 11462886
08/02/18, 46.48, 46.63, 46.18, 46.18, 12009745
08/01/18, 46.45, 46.49, 46.17, 46.39, 9904087
07/31/18, 46.40, 46.67, 46.31, 46.63, 12438797
07/30/18, 46.10, 46.44, 46.05, 46.23, 8968168
07/27/18, 46.32, 46.495, 46.06, 46.21, 10516948
07/26/18, 46.36, 46.59, 46.20, 46.24, 12673080
07/25/18, 46.00, 46.58, 45.75, 46.09, 21318606
07/24/18, 44.78, 45.27, 44.61, 45.26, 13786134
07/23/18, 45.28, 45.36, 44.7742, 44.95, 9055748
07/20/18, 45.02, 45.28, 44.90, 45.28, 9059143
07/19/18, 44.99, 45.43, 44.92, 45.11, 10097454
07/18/18, 45.19, 45.285, 44.84, 45.12, 7351566
07/17/18, 44.75, 45.39, 44.68, 45.25, 11592240
07/16/18, 44.73, 44.80, 44.53, 44.73, 5831418
07/13/18, 44.70, 44.78, 44.465, 44.74, 5585980
07/12/18, 44.83, 44.96, 44.49, 44.67, 6331623
07/11/18, 44.99, 45.00, 44.64, 44.79, 7715616
07/10/18, 44.51, 45.00, 44.50, 44.97, 10606148
07/09/18, 44.54, 44.73, 44.34, 44.40, 7373065
07/06/18, 44.67, 44.94, 44.575, 44.64, 8751372
07/05/18, 44.16, 44.67, 44.13, 44.66, 11652987
07/03/18, 44.06, 44.33, 43.99, 43.99, 8214329
07/02/18, 43.78, 44.16, 43.58, 43.75, 9232583
06/29/18, 43.57, 44.10, 43.31, 43.86, 11485550
06/28/18, 43.24, 43.675, 43.17, 43.47, 12668917
06/27/18, 43.33, 43.61, 42.99, 43.07, 15332570
06/26/18, 43.56, 43.84, 43.28, 43.33, 13974671
06/25/18, 43.16, 43.75, 43.16, 43.58, 12092383
06/22/18, 43.15, 43.41, 43.075, 43.25, 16031146
06/21/18, 43.27, 43.30, 42.96, 43.09, 10465212
06/20/18, 43.62, 43.775, 43.23, 43.26, 10893715
06/19/18, 43.30, 43.75, 43.20, 43.60, 12936411
06/18/18, 43.88, 43.955, 43.40, 43.55, 12161936
06/15/18, 43.56, 44.15, 43.45, 44.12, 21562459
06/14/18, 43.75, 43.85, 43.52, 43.58, 12696174
