Date, Open, High, Low, Close, Volume
10/02/18, 321280, 323330, 321150, 322900, 237
10/01/18, 323165, 324100, 320910, 321930, 494
09/28/18, 324500, 324500, 320000, 320000, 391
09/27/18, 324401, 326500, 323112, 324731, 277
09/26/18, 328100, 328100, 324286, 324286, 340
09/25/18, 328101, 328500, 326280, 328500, 187
09/24/18, 330300, 330990, 326940, 327840, 279
09/21/18, 333780, 333860, 331015, 331336, 447
09/20/18, 332300, 334560, 332300, 333415, 306
09/19/18, 326400, 332000, 326400, 332000, 597
09/18/18, 325000, 327820, 324945, 327436, 538
09/17/18, 325040, 325666, 323836, 324575, 242
09/14/18, 323980, 324999, 323276, 324999, 211
09/13/18, 322700, 323455, 321575, 321575, 281
09/12/18, 321750, 323420, 321750, 322340, 188
09/11/18, 321200, 324420, 320070, 323242, 204
09/10/18, 322200, 324995, 322105, 322560, 256
09/07/18, 320000, 322743, 320000, 321700, 250
09/06/18, 318500, 321175, 318500, 320035, 388
09/05/18, 316500, 319950, 316123, 319920, 259
09/04/18, 315800, 317250, 315000, 317250, 169
08/31/18, 316900, 316900, 315000, 315800, 451
08/30/18, 317000, 317450, 315880, 317000, 364
08/29/18, 317850, 317850, 316320, 317505, 160
08/28/18, 316700, 317730, 316110, 317124, 277
08/27/18, 314250, 317500, 314250, 316200, 185
08/24/18, 312150, 313640, 312150, 312850, 234
08/23/18, 312300, 312930, 311710, 311983, 115
08/22/18, 313250, 313250, 311960, 312400, 147
08/21/18, 314950, 315600, 313725, 313725, 172
08/20/18, 313465, 315535, 313465, 314060, 137
08/17/18, 312975, 314290, 312260, 313465, 162
08/16/18, 310120, 313195, 309950, 313000, 174
08/15/18, 310000, 311300, 308000, 309050, 132
08/14/18, 310745, 312108, 310250, 310815, 108
08/13/18, 311200, 312750, 309983, 310230, 182
08/10/18, 313799, 313799, 310540, 312000, 210
08/09/18, 315400, 316575, 315000, 315100, 148
08/08/18, 315550, 316599, 314376, 315300, 241
08/07/18, 313950, 317100, 313950, 315600, 469
08/06/18, 309000, 315015, 308600, 311806, 653
08/03/18, 302300, 304990, 301720, 304671, 274
08/02/18, 300550, 302175, 299000, 301160, 230
08/01/18, 302500, 303900, 300770, 301200, 235
07/31/18, 303400, 303400, 301080, 301550, 491
07/30/18, 301240, 304400, 301240, 303432, 378
07/27/18, 300500, 302749, 300500, 302000, 328
07/26/18, 300300, 302000, 300300, 300501, 240
07/25/18, 300000, 300500, 297888, 299816, 232
07/24/18, 300650, 303400, 300400, 300400, 226
07/23/18, 298900, 301560, 298835, 300230, 461
07/20/18, 298005, 299380, 298005, 299380, 247
07/19/18, 303210, 303549, 298205, 299000, 279
07/18/18, 295060, 304100, 295060, 303210, 1048
07/17/18, 289220, 289800, 287560, 288500, 205
07/16/18, 288800, 290920, 288800, 289000, 313
07/13/18, 288000, 290100, 287221, 290000, 594
07/12/18, 288550, 289800, 286161, 288000, 466
07/11/18, 285500, 289500, 285010, 288481, 416
07/10/18, 287499, 287770, 286070, 286385, 150
07/09/18, 285000, 286720, 284515, 286720, 117
07/06/18, 283140, 285406, 282840, 283700, 83
07/05/18, 282400, 284203, 282140, 283635, 172
07/03/18, 284900, 285000, 281600, 282000, 118
07/02/18, 282050, 284501, 282050, 283800, 130
06/29/18, 286700, 288080, 282000, 282040, 424
06/28/18, 282950, 285625, 282000, 284920, 545
06/27/18, 284500, 285700, 281600, 281600, 602
06/26/18, 283200, 287000, 282400, 284500, 505
06/25/18, 285000, 285705, 282500, 284640, 335
06/22/18, 285900, 287310, 285401, 286541, 546
06/21/18, 285300, 285800, 283600, 285000, 492
06/20/18, 286780, 286780, 285000, 285000, 346
06/19/18, 286450, 287164, 284800, 286700, 253
06/18/18, 286100, 287850, 285700, 287600, 166
06/15/18, 289600, 289600, 286200, 287626, 337
06/14/18, 292800, 292800, 288978, 289670, 278
06/13/18, 293100, 294020, 291825, 292769, 172
06/12/18, 293450, 294190, 292370, 293005, 168
06/11/18, 294600, 295302, 292770, 292770, 184
06/08/18, 292300, 294540, 291645, 294055, 154
06/07/18, 291900, 294000, 291110, 292900, 304
06/06/18, 287680, 291261, 287680, 290722, 315
06/05/18, 288000, 288100, 286200, 286700, 254
06/04/18, 290095, 291080, 288000, 288000, 173
06/01/18, 290080, 291000, 288470, 289200, 210
05/31/18, 291000, 291700, 287200, 287200, 410
05/30/18, 288500, 293116, 288300, 292000, 584
