Date, Open, High, Low, Close, Volume
11/06/18, 201.92, 204.72, 201.69, 203.77, 31882881
11/05/18, 204.30, 204.39, 198.17, 201.59, 66163669
11/02/18, 209.55, 213.65, 205.43, 207.48, 91328654
11/01/18, 219.05, 222.36, 216.81, 222.22, 58323180
10/31/18, 216.88, 220.45, 216.62, 218.86, 38358933
10/30/18, 211.15, 215.18, 209.27, 213.30, 36659990
10/29/18, 219.19, 219.69, 206.09, 212.24, 45935520
10/26/18, 215.90, 220.19, 212.67, 216.30, 47258375
10/25/18, 217.71, 221.38, 216.75, 219.80, 29855768
10/24/18, 222.60, 224.23, 214.54, 215.09, 40925163
10/23/18, 215.83, 223.25, 214.70, 222.73, 38767846
10/22/18, 219.79, 223.36, 218.94, 220.65, 28792082
10/19/18, 218.06, 221.26, 217.43, 219.31, 33078726
10/18/18, 217.86, 219.74, 213.00, 216.02, 32581315
10/17/18, 222.30, 222.64, 219.34, 221.19, 22885397
10/16/18, 218.93, 222.99, 216.7627, 222.15, 29183963
10/15/18, 221.16, 221.83, 217.27, 217.36, 30791007
10/12/18, 220.42, 222.88, 216.84, 222.11, 40337851
10/11/18, 214.52, 219.50, 212.32, 214.45, 53124392
10/10/18, 225.46, 226.35, 216.05, 216.36, 41990554
10/09/18, 223.64, 227.27, 222.2462, 226.87, 26891029
10/08/18, 222.21, 224.80, 220.20, 223.77, 29663923
10/05/18, 227.96, 228.41, 220.58, 224.29, 33580463
10/04/18, 230.78, 232.35, 226.73, 227.99, 32042000
10/03/18, 230.05, 233.47, 229.78, 232.07, 28654799
10/02/18, 227.25, 230.00, 226.63, 229.28, 24788170
10/01/18, 227.95, 229.42, 226.35, 227.26, 23600802
09/28/18, 224.79, 225.84, 224.02, 225.74, 22929364
09/27/18, 223.82, 226.44, 223.54, 224.95, 30181227
09/26/18, 221.00, 223.75, 219.76, 220.42, 23984706
09/25/18, 219.75, 222.82, 219.70, 222.19, 24554379
09/24/18, 216.82, 221.26, 216.63, 220.79, 27693358
09/21/18, 220.78, 221.36, 217.29, 217.66, 96246748
09/20/18, 220.24, 222.28, 219.15, 220.03, 26608794
09/19/18, 218.50, 219.62, 215.30, 218.37, 27123833
09/18/18, 217.79, 221.85, 217.12, 218.24, 31571712
09/17/18, 222.15, 222.95, 217.27, 217.88, 37195133
09/14/18, 225.75, 226.84, 222.522, 223.84, 31999289
09/13/18, 223.52, 228.35, 222.57, 226.41, 41706377
09/12/18, 224.94, 225.00, 219.84, 221.07, 49278740
09/11/18, 218.01, 224.299, 216.56, 223.85, 35749049
09/10/18, 220.95, 221.85, 216.47, 218.33, 39516453
09/07/18, 221.85, 225.37, 220.71, 221.30, 37619810
09/06/18, 226.23, 227.35, 221.30, 223.10, 34289976
09/05/18, 228.99, 229.67, 225.10, 226.87, 33332960
09/04/18, 228.41, 229.18, 226.63, 228.36, 27390132
08/31/18, 226.51, 228.87, 226.00, 227.63, 43340134
08/30/18, 223.25, 228.26, 222.40, 225.03, 48793824
08/29/18, 220.15, 223.49, 219.41, 222.98, 27254804
08/28/18, 219.01, 220.54, 218.92, 219.70, 22776766
08/27/18, 217.15, 218.74, 216.33, 217.94, 20525117
08/24/18, 216.60, 216.90, 215.11, 216.16, 18476356
08/23/18, 214.65, 217.05, 214.60, 215.49, 18883224
08/22/18, 214.10, 216.36, 213.84, 215.05, 19018131
08/21/18, 216.80, 217.19, 214.025, 215.04, 26159755
08/20/18, 218.10, 219.18, 215.11, 215.46, 30287695
