Date, Open, High, Low, Close, Volume
10/01/18, 72.24, 72.86, 71.76, 71.93, 11265506
09/28/18, 72.06, 72.43, 71.48, 71.74, 14341912
09/27/18, 72.90, 73.62, 72.38, 72.95, 11420597
09/26/18, 73.52, 73.985, 72.37, 72.45, 15059987
09/25/18, 74.22, 74.53, 73.47, 73.51, 12324335
09/24/18, 74.08, 74.53, 73.12, 73.84, 14023205
09/21/18, 74.98, 75.24, 73.975, 74.15, 28874692
09/20/18, 74.50, 75.01, 74.26, 74.79, 23550476
09/19/18, 71.54, 74.13, 71.54, 73.72, 21766077
09/18/18, 71.30, 71.59, 70.60, 71.36, 11457061
09/17/18, 70.79, 71.45, 70.40, 70.88, 11323049
09/14/18, 70.18, 70.88, 70.15, 70.54, 9653338
09/13/18, 70.90, 71.70, 70.03, 70.15, 13568987
09/12/18, 70.96, 71.65, 70.51, 70.51, 17434943
09/11/18, 69.26, 69.71, 68.91, 69.43, 12650036
09/10/18, 69.98, 70.2842, 69.62, 69.63, 12353736
09/07/18, 70.34, 70.45, 69.465, 69.64, 15180591
09/06/18, 70.93, 71.11, 69.9242, 70.11, 15207129
09/05/18, 71.20, 71.78, 71.14, 71.17, 13138144
09/04/18, 70.99, 71.58, 70.37, 71.40, 10108533
08/31/18, 71.05, 71.29, 70.59, 71.24, 11898172
08/30/18, 72.09, 72.36, 71.325, 71.46, 13197693
08/29/18, 72.30, 72.84, 72.02, 72.53, 7146838
08/28/18, 72.57, 72.75, 72.22, 72.38, 9688641
08/27/18, 71.07, 72.65, 70.94, 72.39, 13545336
08/24/18, 70.60, 71.26, 70.51, 70.67, 8760033
08/23/18, 71.03, 71.21, 70.64, 70.81, 8310042
08/22/18, 71.16, 71.42, 70.965, 71.12, 7297640
08/21/18, 70.63, 71.645, 70.58, 71.24, 12261093
08/20/18, 69.46, 70.70, 69.38, 70.53, 11233317
08/17/18, 69.42, 69.87, 69.245, 69.67, 10329636
08/16/18, 69.16, 69.885, 69.09, 69.56, 13439616
08/15/18, 69.23, 69.43, 68.08, 68.65, 18952303
08/14/18, 69.30, 70.20, 69.25, 70.01, 12668219
08/13/18, 70.20, 70.36, 69.06, 69.16, 16926102
08/10/18, 70.63, 70.90, 69.90, 70.26, 20240101
08/09/18, 72.44, 72.65, 71.89, 71.98, 11044203
08/08/18, 72.14, 73.21, 72.06, 72.89, 10180392
08/07/18, 72.57, 72.905, 72.39, 72.41, 12991146
08/06/18, 72.16, 72.65, 71.93, 72.40, 10121747
08/03/18, 71.64, 72.52, 71.57, 72.39, 13680049
08/02/18, 71.34, 71.93, 71.02, 71.84, 13248616
08/01/18, 72.50, 73.075, 71.90, 71.93, 13612224
07/31/18, 72.20, 72.37, 71.625, 71.89, 13608112
07/30/18, 71.86, 72.79, 71.80, 72.29, 16339108
07/27/18, 71.36, 71.82, 71.16, 71.69, 11194990
07/26/18, 71.75, 71.91, 71.25, 71.34, 11169192
07/25/18, 70.82, 71.75, 70.75, 71.72, 14199697
07/24/18, 70.40, 71.47, 70.29, 71.07, 21883786
07/23/18, 69.16, 70.45, 69.01, 70.21, 15763954
07/20/18, 68.79, 69.56, 68.5302, 69.22, 12020999
07/19/18, 69.50, 69.56, 68.555, 68.99, 14833856
07/18/18, 69.22, 70.255, 69.22, 69.85, 16321163
07/17/18, 69.50, 69.87, 68.80, 69.35, 17262797
07/16/18, 67.36, 69.71, 67.28, 69.46, 26659911
07/13/18, 67.99, 68.30, 66.22, 67.00, 34069358
07/12/18, 68.36, 68.60, 67.94, 68.51, 13345165
07/11/18, 67.97, 68.46, 67.84, 67.91, 13262807
07/10/18, 69.23, 69.35, 67.95, 68.23, 17057664
07/09/18, 67.50, 69.05, 67.49, 68.94, 15148455
07/06/18, 66.22, 67.34, 65.90, 67.14, 13174914
07/05/18, 66.44, 66.83, 66.22, 66.56, 12359036
07/03/18, 67.45, 67.49, 65.94, 66.06, 12345990
07/02/18, 66.21, 67.16, 65.94, 67.16, 12699136
06/29/18, 68.00, 68.77, 66.88, 66.92, 24225294
06/28/18, 65.98, 67.13, 65.559, 66.88, 19860091
06/27/18, 66.22, 67.56, 65.44, 65.46, 20917509
06/26/18, 65.51, 66.69, 64.38, 66.31, 22613719
06/25/18, 66.79, 66.88, 65.34, 65.75, 21426551
06/22/18, 68.04, 68.21, 67.16, 67.20, 16337261
06/21/18, 67.16, 68.09, 66.70, 67.63, 16545765
06/20/18, 67.72, 67.95, 67.13, 67.38, 16697066
06/19/18, 66.03, 66.91, 65.95, 66.78, 16892774
06/18/18, 65.75, 66.81, 65.38, 66.75, 13680843
06/15/18, 66.32, 66.62, 65.24, 66.34, 29314767
06/14/18, 67.56, 67.61, 65.95, 66.16, 24035372
06/13/18, 67.82, 68.405, 67.22, 67.29, 17531479
06/12/18, 68.26, 68.57, 67.44, 67.61, 13737087
06/11/18, 68.92, 69.1652, 68.07, 68.11, 13941480
06/08/18, 68.13, 68.52, 67.77, 68.47, 11609535
06/07/18, 68.93, 69.00, 67.97, 68.45, 16505342
06/06/18, 67.21, 68.42, 67.10, 68.23, 14862410
06/05/18, 67.08, 67.09, 66.455, 66.76, 14072730
06/04/18, 67.44, 67.77, 67.00, 67.34, 10468913
06/01/18, 67.49, 68.03, 67.08, 67.28, 14914445
05/31/18, 66.55, 66.95, 65.75, 66.69, 22632989
05/30/18, 66.56, 66.88, 66.15, 66.68, 19040496
05/29/18, 67.12, 67.50, 65.20, 65.71, 37721402
05/25/18, 68.93, 68.93, 68.21, 68.44, 16008746
05/24/18, 69.84, 69.89, 68.49, 69.31, 16553659
05/23/18, 70.65, 70.70, 69.23, 70.24, 13626655
05/22/18, 70.79, 71.69, 70.51, 71.08, 14147149
05/21/18, 70.65, 70.87, 70.30, 70.43, 9798514
05/18/18, 71.26, 71.32, 69.89, 69.96, 16160712
05/17/18, 71.73, 72.04, 71.0748, 71.56, 14876030
05/16/18, 72.44, 72.76, 71.81, 71.95, 11795981
05/15/18, 72.51, 73.02, 72.365, 72.68, 12483263
05/14/18, 72.93, 73.30, 72.50, 72.62, 12615455
05/11/18, 72.53, 73.24, 72.46, 72.86, 11531356
05/10/18, 71.96, 72.93, 71.59, 72.57, 11488902
05/09/18, 71.23, 72.00, 70.76, 71.95, 15900655
05/08/18, 69.65, 71.45, 69.39, 71.00, 23603166
05/07/18, 68.27, 68.665, 68.14, 68.50, 11801841
05/04/18, 67.05, 68.27, 66.97, 67.94, 12511986
05/03/18, 67.80, 68.23, 66.55, 67.94, 16325538
05/02/18, 67.95, 69.02, 67.75, 67.99, 15287274
05/01/18, 68.24, 68.29, 67.421, 68.25, 11602713
04/30/18, 69.20, 69.59, 68.25, 68.27, 12237893
04/27/18, 69.00, 69.4377, 68.74, 68.99, 10420057
04/26/18, 69.11, 69.59, 68.90, 69.18, 13829682
04/25/18, 68.77, 69.765, 68.05, 69.36, 16059672
04/24/18, 69.76, 70.62, 68.4001, 69.12, 16233651
04/23/18, 70.00, 70.27, 69.40, 69.48, 11596358
04/20/18, 70.40, 70.8413, 69.75, 70.00, 17629879
04/19/18, 69.10, 70.61, 69.10, 70.28, 15531636
04/18/18, 69.81, 70.36, 68.85, 68.98, 15382852
04/17/18, 70.65, 70.925, 69.47, 69.74, 18233370
04/16/18, 71.09, 71.34, 69.76, 70.07, 18877025
04/13/18, 73.21, 73.38, 69.83, 71.01, 31356016
04/12/18, 70.47, 72.50, 70.47, 72.13, 24488085
04/11/18, 69.97, 70.5974, 69.55, 69.89, 15645520
04/10/18, 71.05, 71.24, 70.29, 70.51, 16098842
04/09/18, 69.06, 70.945, 68.99, 69.44, 17036536
04/06/18, 69.52, 70.29, 67.925, 68.60, 21543535
04/05/18, 70.07, 70.8116, 69.90, 70.22, 16120720
04/04/18, 67.16, 69.56, 67.0501, 69.31, 15651285
04/03/18, 68.05, 68.66, 67.42, 68.48, 18822627
04/02/18, 68.33, 69.04, 66.545, 67.71, 29975646
03/29/18, 68.52, 69.67, 67.50, 67.50, 22621254
